{
    strings:
    {
    "PALADIN_NAME" : "圣骑士",
    "PALADIN_MASTERYUNLOCKABLE_ACHIEVEMENT_DESC" : "作为圣骑士，在季风难度完成游戏或抹除自己。",
    "PALADIN_MASTERYUNLOCKABLE_UNLOCKABLE_NAME" : "圣骑士：精通",
    "PALADIN_TYPHOONUNLOCKABLE_ACHIEVEMENT_NAME" : "圣骑士：大师精通",
    "PALADIN_TYPHOONUNLOCKABLE_ACHIEVEMENT_DESC" : "作为圣骑士在台风或更高难度完成游戏或抹除自己。\n<color=#8888>(台风难度需要安装 Starstorm 2 模组)</color>",
    "PALADIN_TYPHOONUNLOCKABLE_UNLOCKABLE_NAME" : "圣骑士：大师精通",
    "PALADIN_POISONUNLOCKABLE_ACHIEVEMENT_NAME" : "她的门徒",
    "PALADIN_POISONUNLOCKABLE_ACHIEVEMENT_DESC" : "作为圣骑士，与堕落女神签订契约。",
    "PALADIN_POISONUNLOCKABLE_UNLOCKABLE_NAME" : "她的门徒",
    "PALADIN_LIGHTNINGSPEARUNLOCKABLE_ACHIEVEMENT_NAME" : "愉快的合作",
    "PALADIN_LIGHTNINGSPEARUNLOCKABLE_ACHIEVEMENT_DESC" : "作为圣骑士，用皇家电容攻击一个敌人。 <color=#c11>仅主机。</color>",
    "PALADIN_LIGHTNINGSPEARUNLOCKABLE_UNLOCKABLE_NAME" : "愉快的合作",
    "PALADIN_LUNARSHARDUNLOCKABLE_ACHIEVEMENT_NAME" : "失落之王的使者",
    "PALADIN_LUNARSHARDUNLOCKABLE_ACHIEVEMENT_DESC" : "作为圣骑士，一次持有8件月球物品。",
    "PALADIN_LUNARSHARDUNLOCKABLE_UNLOCKABLE_NAME" : "失落之王的使者",
    "PALADIN_HEALUNLOCKABLE_ACHIEVEMENT_NAME" : "温暖的拥抱",
    "PALADIN_HEALUNLOCKABLE_ACHIEVEMENT_DESC" : "作为圣骑士，用身形扭曲的木灵治疗一个盟友。 <color=#c11>仅主机。</color>",
    "PALADIN_HEALUNLOCKABLE_UNLOCKABLE_NAME" : "温暖的拥抱",
    "PALADIN_TORPORUNLOCKABLE_ACHIEVEMENT_NAME" : "镇压",
    "PALADIN_TORPORUNLOCKABLE_ACHIEVEMENT_DESC" : "作为圣骑士，在一个敌人身上叠加4个减益。",
    "PALADIN_TORPORUNLOCKABLE_UNLOCKABLE_NAME" : "镇压",
    "PALADIN_CRUELSUNUNLOCKABLE_ACHIEVEMENT_NAME" : "阳光",
    "PALADIN_CRUELSUNUNLOCKABLE_ACHIEVEMENT_DESC" : "作为圣骑士，承受太阳的全部冲击并幸存下来。",
    "PALADIN_CRUELSUNUNLOCKABLE_UNLOCKABLE_NAME" : "阳光",
    "PALADIN_CLAYUNLOCKABLE_ACHIEVEMENT_NAME" : "古迹",
    "PALADIN_CLAYUNLOCKABLE_ACHIEVEMENT_DESC" : "作为圣骑士，获得一个泥沼之瓮。",
    "PALADIN_CLAYUNLOCKABLE_UNLOCKABLE_NAME" : "古迹",
    "BROTHER_SEE_PALADIN_1" : "兄弟？不，只是拙劣的模仿。",
    "BROTHER_SEE_PALADIN_2" : "我会回应你的信仰。",
    "BROTHER_SEE_PALADIN_3" : "枉费自己的潜能。",
    "BROTHER_KILL_PALADIN_1" : "你粗劣的盔甲会拖累你。",
    "BROTHER_KILL_PALADIN_2" : "看看你的信仰给你带来了什么。",
    "BROTHER_KILL_PALADIN_3" : "回归虚无，愚蠢的奉献者。",
    }
}
